I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
4,4,4,5,4,"Battery Health Estimation Algorithm, Battery Field Systems Engineering, Battery Cost and Estimation Expertise","Equipment manufacturing, Module/pack production, Product integration (stationary storage)",Bachelors,Electrical Engineering,United States,94110,40000,16,30,Black or African American,Male,Non-citizen (Other),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,3,3,2,,,,1,6,Equipment manufacturing,Startup (early growth),United States,California,4,"1,001-5,000",1-10,BATTERY FIELD SYSTEMS ENGINEER,"Engineering and design, Testing and validation, New product introduction (NPI)",Expert,"Supportive team and environment, Learning and skills development, Career growth opportunities, Challenge and innovation",No,,3,4,4,3,"Learning on the job, Peer mentors","Better understanding of culture and norms, Better foundational knowledge, More hands-on skills",1,,,,,TRUE,3,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:56:40,f7iu6tkrgvr02338f7iu6t0tmjvjxun3
3,3,3,2,2,Design process test,"Equipment manufacturing, Product integration (electronics), Product integration (stationary storage)",Masters,,Morocco,11000,35000,20,44,"White, Middle Eastern or North African",Male,Citizen (native-born),,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,2,2,40000,Bonuses (based on individual performance),1,,3,"Product integration (electronics), Product integration (vehicles, mobility)",Scale-up (rapid growth),Morocco,,,"25,001-50,000",,Manager Consultant,"Engineering and design, Managing people, Managing projects or programs, New product introduction (NPI), Product design, Research and development, Testing and validation",Expert,,"Yes, in a different role",,2,2,1,3,Learning on the job,Better foundational knowledge,1,Communication,Manager départemental,Entreprise projects,2,TRUE,,,,,"Career growth opportunities, Work location flexibility, Job stability",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:56:37,rfbvrcnw8t8qoterfbv4h17tvloszod4
4,,,,,"Battery code and standards, Battery products strategy and management,Battery system design and operation,","Consulting, Product integration (stationary storage), Cell production",Doctorate,Engineering Technology,United States,30004,180000,60,44,Black or African American,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,2,2,175000,Bonuses (based on company performance),0,1,1,"Module/pack production, Product integration (vehicles, mobility), Product integration (stationary storage)",Startup (early growth),United States,California,5,51-100,21-50,Principal Engineer,"Engineering and design, Managing projects or programs, New product introduction (NPI), Product design, Research and development",Manager,"Hybrid/remote work, Career growth opportunities, Supportive team and environment","Yes, in a similar role",,4,5,5,5,Formal training programs,"Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",1,"Energy Engineering, BMS and Electrical",Battery integration engineer,Not real qualified engineers on the battery technology and understanding of the systems,3,TRUE,3,2,1,5,"Job stability, Career growth opportunities, Salary, bonuses, Perks",Nope,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:55:59,urh998dlts7477r71f3urh998iq91g83
3,2,3,4,3,Communications; integration instead of verticality,"Energy infrastructure, Product integration (stationary storage), Product integration (vehicles, mobility)",Masters,Management and Business Administration,Italy,,95000,45,33,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,2,2,95000,"Bonuses (based on company performance), Equity (stock, options, etc.)",0,0,1,Software,Startup (early growth),United States,Massachusetts,0,51-100,1-10,Director,Marketing,Director/VP,"Hybrid/remote work, Sustainability and impact","Yes, in a similar role",,4,4,4,3,Learning on the job,"Better foundational knowledge, Better understanding of culture and norms",0,Collaboration; multi-potential; influence capabilities,Product Management; Sales; Developers:,Boring field,3,TRUE,3,2,2,2,"Salary, bonuses, Job stability, Career growth opportunities",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:55:12,tgar7quba42s8ode553tgarifisq8woe
3,2,2,1,3,"Technical background, customer relationship, industry understanding","Component/precursor production, Product integration (vehicles, mobility), Energy infrastructure",Masters,Chemistry,United States,80524,250000,0,69,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,3,3,4,195000,Bonuses (based on company performance),1,1,28,"Component/precursor production, Refining",Established (significant market presence),United States,North Carolina,1,"1,001-5,000",11-20,Business development manager,New product introduction (NPI),Expert,Job security,No,,5,5,5,5,Learning on the job,Better understanding of culture and norms,0,"People skills, product applications skills,","Marketing, product management",Too much flux in start up companies related to battery industry,0,TRUE,2,1,1,3,Job stability,Company stability,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:53:56,fpri9vv8u09zd3x9h6ffprnfox1ffryg
5,5,2,5,5,"Data analysis, statistics, communication","Energy infrastructure, Recycling",Doctorate,Nanotechnology Engineering,Canada,B3K0G1,30000,50,26,White,Female,Citizen (native-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,Battery R&D Engineer,"Cell production, Component/precursor production, Module/pack production, Energy infrastructure, Product integration (stationary storage), Consulting","Career growth opportunities, Work-life balance, Autonomy and independence, Competitive salary and benefits, Supportive team and environment",110000,5+,,"Engineering and design, Research and development","Chemistry knowledge, battery physics fundamentals, data analysis","Quality control, statistics,",,35,60,10/4/2024 19:53:27,giddlkws36i6ngkwgiddlkuhuqf882lj
4,5,5,5,5,Creativity; problem solving; eye for detail,"Cell production, Refining, Cell Development",Masters,Chemical Engineering,United States,01803,90000,42,26,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,5,2,90000,"Health and wellness stipends, Equity (stock, options, etc.)",0,0,1,"Cell production, Component/precursor production",Startup (early growth),United States,Massachusetts,5,101-250,1-10,Electrolyte Scientist,Research and development,Senior,"Desirable work location, Challenge and innovation, Career growth opportunities","Yes, in a similar role",,2,3,4,5,No training,"Better foundational knowledge, Better understanding of culture and norms",1,Creativeness; Eagerness to take on new projects,"Directors, Managers",,2,FALSE,4,4,4,5,"Equity, Salary, bonuses, Visa sponsorship",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:53:14,vccnly1n7it628snxvccnltd51ull0oq
3,1,3,1,1,"Communication, presentation, abstraction","Component/precursor production, Cell production",Doctorate,,United States,94087,200000,30,33,Asian,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,1,3,1,155000,"Equity (stock, options, etc.)",0,,1,"Product integration (vehicles, mobility)",Established (significant market presence),United States,California,5,"100,000+",11-20,Senior Engineer,Research and development,Senior,Family reason,"Yes, in a similar role",,1,1,1,1,I'm well established during my PhD and Postdoc,Better understanding of culture and norms,0,,"CEO, SVP, VP",Talents are abundant these days，positions are scarce,1,TRUE,4,3,1,1,"Salary, bonuses, Job stability, Equity, Vacation time, Company culture, Total hours worked",Need cheap housing and low cost daycare in the location of next role,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:52:27,2ir5g9kg6tsaxhae62ir5guuxbu2bikh
2,4,5,3,3,"Analysis, engineering, business skills","Product integration (vehicles, mobility), Product integration (stationary storage), Product integration (electronics)",Doctorate,Chemistry,United States,98102,120000,24,37,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,1,1,1,120000,"Equity (stock, options, etc.)",0,0,2,Recycling,Startup (early growth),United States,Connecticut,4,1-10,1-10,Chief Technology Officer,"Managing projects or programs, Research and development, Strategy and planning, Engineering and design, Testing and validation",Executive,"Career growth opportunities, Autonomy and independence, Challenge and innovation, Learning and skills development","Yes, in a different role",Director of R&D,2,5,5,5,Learning on the job,Better foundational knowledge,0,"critical thinking, project planning, tenacity",Director,Salary,2,TRUE,1,1,1,3,"Salary, bonuses, Career growth opportunities, Job stability",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:51:08,9pxmysh7uk4b8n39pxmy65rpoxxruapp
4,3,2,4,4,small molecule development for liquid electrolyte,"Energy infrastructure, Recycling, Cell production",Doctorate,Physics,United States,14201,200000,60,35,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,3,1,200000,"Bonuses (based on company performance), Bonuses (based on individual performance), Bonuses (based on retention)",0,0,9,Component/precursor production,Established (significant market presence),United States,New York,1,"100,000+",11-20,Director,"Managing projects or programs, Managing people, Research and development, Strategy and planning, Testing and validation, Engineering and design, Marketing",Director/VP,"Work-life balance, Desirable work location",No,,2,3,4,5,Formal training programs,"More hands-on skills, Better foundational knowledge",0,"strategic planning, strong technical articulation, setting clear and decisive vision",subject matter experts,lack of trained professional,0,FALSE,2,3,4,3,"Salary, bonuses, Job stability, Career growth opportunities, Work location flexibility, Company culture",no,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:47:59,gtdsdogkztk7zwouyvq2gtdsdogkjyzl
5,5,5,5,5,"1. BMS, 2. Battery pack scale performance and safety concept, 3. Failure analysis and feedback to design/process/application","Cell production, Product integration (vehicles, mobility), Product integration (electronics)",Doctorate,Materials Science and Engineering,United States,48098,170000,40,65,Asian,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:44:22,0nzsuswgmpk9z465s4k1hx0nzsqn41yb
5,3,2,2,5,"intrapersonal skills, technical knowledge, grid knowledge","Energy infrastructure, Cell production, Product integration (stationary storage)",Bachelors,Engineering (Other),United States,78240,120000,0,29,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,1,5,1,100000,,0,0,4,"Cell production, Component/precursor production, Product integration (stationary storage)",Established (significant market presence),United States,Nevada,0,11-50,1-10,,Engineering and design,Developing,,"Yes, in a different role",,2,3,5,5,Learning on the job,Better understanding of culture and norms,0,sales,managment with anyone good,lack of qualified workers,1,TRUE,3,1,1,5,"Company culture, Career growth opportunities, Work location flexibility",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:43:42,wsy0dd876brpwm6kkwhwsy0ddhshx8j9
5,5,4,5,5,"Process Engineering, Equipment Engineering and scale up for production","Cell production, Equipment manufacturing, Design Scale up",Masters,Chemical Engineering,United States,60647,550000,55,37,Asian,Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:42:32,m15huuxq53p6hsu1vbkuxwm15huu1x8f
5,5,5,5,5,Skilled battery techs,Install and Testing,Bachelors,Electrical Engineering,United States,33446,1000,70,65,Middle Eastern or North African,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:41:52,cn0l4oh9waw8cn0lwv0wigw9s8xjipep
5,5,3,5,5,"Supply Chain, Embedded Systems, Unit Economics","Cell production, Energy infrastructure, Equipment manufacturing",Masters,Materials Science and Engineering,India,400062,3200000,55,32,Asian,Male,,No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:41:43,v2m64z5b6yw0v2mj7qjao3syqk57laiu
4,4,5,5,5,Unk,"Product integration (electronics), Cell production, Software",Doctorate,Chemistry,United States,94606,500000,60,43,Decline to answer,Decline to answer,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,1,4,375000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",1,1,2,"Cell production, Module/pack production",Startup (early growth),United States,California,5,251-500,51-100,,"Managing people, Managing projects or programs, Research and development",Executive,"Supportive team and environment, Competitive salary and benefits, Learning and skills development","Yes, in a similar role",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:41:38,5v5aovr8e4vx1h5v5aosqfrr7s6xpncf
5,5,3,4,5,Cell design; Cell manufacturing; Pack design,"Cell production, Software, Product integration (vehicles, mobility)",Masters,Mechanical Engineering,United States,,160000,60,33,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,3,5,135000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",1,1,2,"Product integration (vehicles, mobility)",Established (significant market presence),United States,,5,"1,001-5,000",1-10,Staff Engineer,"Engineering and design, Product design, New product introduction (NPI), Managing people, Research and development, Software development, Strategy and planning, Supply chain, Testing and validation, Software integration, Managing projects or programs",Expert,"Desirable work location, Competitive salary and benefits, Supportive team and environment, Work-life balance, Challenge and innovation","Yes, in a similar role",,3,4,5,5,Learning on the job,Better understanding of culture and norms,3,Hard work,Program Manager,Difficult skillset,2,FALSE,,,,,"Salary, bonuses, Job stability, Equity, Vacation time, Perks, Career growth opportunities, Parental leave, Company culture, Total hours worked, Work location flexibility",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:40:54,bbfivdnndjbb3na42gqbbfivloebza1d
5,3,3,5,4,,"Software, Equipment manufacturing, Component/precursor production",Bachelors,Math,United States,89502,80000,40,22,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:38:17,3ukkvaqu0q490lobcb3ukkvg2axjfo44
4,3,4,4,3,"Manufacturing Experience, Industrial Knowledge, Quality Engineering","Component/precursor production, Refining, Cell production",Bachelors,Chemistry,United States,80516,88500,40,33,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,3,3,88500,"Bonuses (based on company performance), Equity (stock, options, etc.)",1,1,1,"Component/precursor production, Cell production",Scale-up (rapid growth),United States,Colorado,5,51-100,11-20,Scientist,"Engineering and design, Managing projects or programs, Quality, Research and development, Testing and validation",Career,"Learning and skills development, Desirable work location, Job security, Career growth opportunities, Challenge and innovation","Yes, in a similar role",,1,2,3,4,Learning on the job,"Better foundational knowledge, More hands-on skills",0,"Interdisciplinary environment, project involvement, mentorship",Quality Engineering; Mid level battery engineering; manufacturing expertise,"Increased Training, Better Career Opportunities, More employment benefits",1,FALSE,3,3,4,3,"Salary, bonuses, Vacation time, Perks, Career growth opportunities, Job stability, Parental leave, Work location flexibility, Total hours worked",Benefits;Money;Culture,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:31:07,4i1k32no4kt5j9nmqgy4i1t24z1af01d
